state,city,region_id,region_name,school_count,program_count,avg_student_size,avg_in_state_tuition,avg_out_of_state_tuition,avg_cost_of_attendance,avg_net_price
CA,Vallejo,8,Far West,3,25,691.1,7672.0,19552.0,27138.0,17354.5
CA,Valley Glen,8,Far West,1,63,12470.0,1238.0,10130.0,18625.0,10200.0
CA,Van Nuys,8,Far West,3,9,121.5,31618.0,31618.0,,33332.43
CA,Ventura,8,Far West,4,60,8747.58,1416.0,8179.0,9762.0,3272.44
CA,Victorville,8,Far West,2,57,11958.52,1425.0,10125.0,11786.0,3445.54
CA,Visalia,8,Far West,5,90,7923.69,1394.0,8338.0,8553.0,8929.39
CA,Walnut,8,Far West,1,104,25311.0,1364.0,10212.0,12077.0,3107.0
CA,Watsonville,8,Far West,1,5,149.0,,,,1532.0
CA,Weed,8,Far West,1,41,1080.0,1444.0,9394.0,14448.0,7241.0
CA,West Covina,8,Far West,5,21,655.92,,,,25506.42
CA,West Hills,8,Far West,1,3,57.0,,,,21967.0
CA,Westminster,8,Far West,1,1,413.0,,,,
CA,Whitter,8,Far West,1,3,141.0,,,,26689.0
CA,Whittier,8,Far West,3,83,10256.99,13159.93,18724.21,33032.92,20101.23
CA,Wilmington,8,Far West,1,56,6496.0,1238.0,10050.0,19463.0,11245.0
CA,Woodland,8,Far West,1,33,2949.0,1124.0,8184.0,11798.0,4097.0
CA,Woodland Hills,8,Far West,1,67,13029.0,1238.0,10130.0,19844.0,11196.0
CA,Yuba City,8,Far West,1,3,50.0,,,,24876.0
CA,Yucaipa,8,Far West,1,50,5074.0,1188.0,12320.0,18384.0,10655.0
CO,Alamosa,7,Rocky Mountains,1,30,1239.0,9776.0,21848.0,23800.0,14173.0
CO,Aurora,7,Rocky Mountains,6,46,1854.84,4365.82,12937.46,14442.84,9673.59
CO,Boulder,7,Rocky Mountains,4,100,28576.5,18025.08,41298.39,35172.04,22114.26
CO,Broomfield,7,Rocky Mountains,1,4,321.0,17406.0,17406.0,33357.0,30922.0
CO,Colorado Springs,7,Rocky Mountains,13,123,9496.16,17641.29,24831.9,31128.51,17107.81
CO,Delta,7,Rocky Mountains,1,10,142.0,,,,3790.0
CO,Denver,7,Rocky Mountains,19,199,7306.59,30209.84,38105.54,43329.63,22309.02
CO,Durango,7,Rocky Mountains,1,46,3070.0,9670.0,20798.0,25558.0,17339.0
CO,Fort  Morgan,7,Rocky Mountains,1,23,619.0,4127.0,16360.0,15797.0,7161.0
CO,Fort Collins,7,Rocky Mountains,3,123,23761.77,13022.63,32788.19,29519.96,20478.23
CO,Glenwood Springs,7,Rocky Mountains,1,37,2821.0,2700.0,12540.0,13717.0,6342.0
